;Unnamed: 0;evoluzione;reinserimento;probabilita_riproduzione_carote;quantita_acqua_pozzanghera;tempo;stagione;num_volpi;num_conigli;num_carota;num_pozzanghera;numero_volpi_nate;numero_conigli_nati;numero_conigli_morti_fame;numero_volpi_morti_fame;numero_conigli_morti_sete;numero_volpi_morti_sete;numero_conigli_morti_vecchiaia;numero_volpi_morti_vecchiaia;numero_conigli_cacciati;eta_media_conigli;eta_media_volpi;percezione_media_conigli;percezione_media_volpi;velocita_camminata_media_conigli;velocita_camminata_media_volpi;velocita_corsa_media_conigli;velocita_corsa_media_volpi;soglia_fame_media_conigli;soglia_fame_media_volpi;soglia_sete_media_conigli;soglia_sete_media_volpi;soglia_fertilita_media_conigli;soglia_fertilita_media_volpi;soglia_morte_di_fame_media_conigli;soglia_morte_di_fame_media_volpi;soglia_morte_di_sete_media_conigli;soglia_morte_di_sete_media_volpi;media_fame_conigli;media_fame_volpi;media_sete_conigli;media_sete_volpi;media_fertilita_conigli;media_fertilita_volpi
0;0;True;True;0.0005;3;1;primavera;25;75;250;200;0;0;0;0;0;0;0;0;0;0.003;0.003;17.413;16.88;50.96;49.08;70.333;70.36;225.773;226.4;225.12;225.64;273.48;544.8;543.08;602.28;543.36;604.92;151.0;151.0;1.0;1.0;0.0;0.0
1;1;True;True;0.0005;3;7;primavera;25;65;293;200;0;0;0;0;0;0;0;0;10;0.753;0.753;17.462;16.88;51.108;49.08;70.185;70.36;225.508;226.4;225.6;225.64;273.908;544.8;543.815;602.28;543.015;604.92;187.908;264.48;199.631;212.6;85.0;85.0
2;2;True;True;0.0005;3;13;estate;26;100;354;213;0;17;4;9;0;0;0;0;18;0.808;0.927;17.58;16.538;50.61;49.577;70.78;70.385;226.19;227.538;222.07;225.077;271.86;545.538;547.26;599.269;546.61;601.077;165.99;205.923;105.58;126.346;136.13;206.154
3;3;True;True;0.0005;3;27;estate;36;339;303;183;10;284;5;9;2;0;0;0;43;0.637;1.234;17.094;17.333;51.732;51.611;70.847;70.528;226.13;227.694;222.652;226.972;273.324;540.694;544.546;612.472;540.472;609.667;200.103;149.694;120.51;121.917;39.87;175.694
4;4;True;True;0.0005;3;57;autunno;75;578;176;103;39;582;38;9;2;0;0;0;99;0.746;1.143;18.175;17.32;52.064;50.987;72.789;71.653;224.434;229.667;223.503;227.573;269.574;546.827;543.562;608.187;537.725;601.88;216.289;136.92;132.933;140.76;75.955;126.64
5;5;True;True;0.0005;3;99;autunno;89;1021;45;47;53;1195;125;9;20;0;0;0;164;0.799;1.608;18.371;17.652;52.999;51.73;73.002;70.708;224.287;228.483;223.028;226.326;267.608;544.573;547.929;609.719;536.075;604.427;274.656;162.472;166.788;165.697;81.352;203.944
6;6;True;True;0.0005;3;134;inverno;145;1007;6;34;104;1688;497;12;87;2;12;0;250;0.86;1.483;18.948;18.269;53.754;53.193;73.012;70.607;224.43;228.566;222.773;227.159;267.401;538.862;560.039;614.31;536.422;604.91;340.934;178.607;209.476;191.503;105.228;185.124
7;7;True;True;0.0005;3;156;inverno;186;476;9;30;168;1869;1002;12;171;14;12;11;375;0.947;1.301;20.317;19.296;54.378;53.226;75.05;71.0;225.353;228.704;223.735;225.274;266.429;542.688;573.742;609.882;540.086;606.629;371.319;181.651;241.95;202.366;131.968;159.688
8;8;True;True;0.0005;3;167;primavera;209;183;28;27;198;1926;1241;15;224;28;12;11;466;0.808;1.657;20.306;19.656;56.164;53.708;75.902;71.416;226.989;229.464;224.005;225.287;260.0;542.431;580.71;608.967;549.383;607.421;324.06;256.287;213.399;273.56;114.754;273.096
9;9;True;True;0.0005;3;176;primavera;197;67;82;27;250;1953;1299;26;238;77;13;15;537;0.776;1.703;20.328;20.599;57.791;54.99;77.433;70.36;218.433;230.305;222.0;227.178;242.597;539.198;584.522;615.924;564.343;607.914;248.761;281.198;191.119;274.005;101.03;281.198
10;10;True;True;0.0005;3;182;estate;174;50;149;26;293;1953;1308;52;245;124;13;19;568;0.501;1.528;20.96;22.305;54.76;54.902;77.26;71.195;218.28;230.684;222.94;226.822;242.48;541.247;588.22;619.649;569.14;604.971;225.9;331.983;127.94;276.736;100.02;236.73
11;11;True;True;0.0005;3;187;estate;86;19;194;26;293;1953;1310;98;250;164;13;22;592;1.004;1.866;21.579;23.477;54.053;55.698;78.579;73.198;218.842;229.791;222.474;225.581;239.842;544.384;590.632;616.86;571.474;611.349;278.842;390.081;290.316;348.907;168.737;331.43
12;12;True;True;0.0005;3;189;autunno;25;36;268;26;293;1953;1316;142;253;189;13;24;596;0.253;1.121;20.833;24.76;54.5;53.96;77.833;77.08;218.0;225.48;222.0;221.64;239.5;541.88;589.0;616.0;569.833;620.12;186.972;270.52;84.333;283.4;55.833;273.68
