;Unnamed: 0;evoluzione;reinserimento;probabilita_riproduzione_carote;quantita_acqua_pozzanghera;tempo;stagione;num_volpi;num_conigli;num_carota;num_pozzanghera;numero_volpi_nate;numero_conigli_nati;numero_conigli_morti_fame;numero_volpi_morti_fame;numero_conigli_morti_sete;numero_volpi_morti_sete;numero_conigli_morti_vecchiaia;numero_volpi_morti_vecchiaia;numero_conigli_cacciati;eta_media_conigli;eta_media_volpi;percezione_media_conigli;percezione_media_volpi;velocita_camminata_media_conigli;velocita_camminata_media_volpi;velocita_corsa_media_conigli;velocita_corsa_media_volpi;soglia_fame_media_conigli;soglia_fame_media_volpi;soglia_sete_media_conigli;soglia_sete_media_volpi;soglia_fertilita_media_conigli;soglia_fertilita_media_volpi;soglia_morte_di_fame_media_conigli;soglia_morte_di_fame_media_volpi;soglia_morte_di_sete_media_conigli;soglia_morte_di_sete_media_volpi;media_fame_conigli;media_fame_volpi;media_sete_conigli;media_sete_volpi;media_fertilita_conigli;media_fertilita_volpi
0;0;True;True;0.0005;3;1;primavera;25;75;250;200;0;0;0;0;0;0;0;0;0;0.003;0.003;17.667;17.6;50.987;49.4;70.04;70.48;223.333;229.56;222.533;223.8;273.547;543.88;545.893;602.64;546.2;593.04;151.0;151.0;1.0;1.0;0.0;0.0
1;1;True;True;0.0005;3;7;primavera;25;69;302;200;0;0;0;0;0;0;0;0;6;0.753;0.753;17.725;17.6;51.058;49.4;69.899;70.48;223.072;229.56;221.783;223.8;273.275;543.88;546.435;602.64;547.333;593.04;213.681;326.48;192.638;231.88;85.0;85.0
2;2;True;True;0.0005;3;12;estate;21;131;365;199;0;46;8;14;0;0;0;0;12;0.672;0.79;17.718;17.714;51.076;50.286;69.595;69.571;220.954;229.762;220.779;224.095;269.351;543.476;556.45;605.524;555.214;598.095;175.466;191.476;96.466;106.857;114.595;175.476
3;3;True;True;0.0005;3;27;estate;20;317;311;164;0;250;9;14;2;1;0;0;27;0.711;1.504;17.625;17.75;51.41;50.1;69.107;69.7;220.237;229.65;223.013;223.7;273.71;542.25;555.877;606.6;552.558;600.5;188.047;188.6;123.722;230.45;46.454;335.5
4;4;True;True;0.0005;3;53;autunno;55;665;193;88;25;622;28;14;5;1;0;0;59;0.739;0.94;18.352;17.455;51.427;51.309;69.313;72.218;219.851;228.473;225.099;222.691;275.436;545.873;557.033;605.964;557.895;593.0;220.125;139.836;132.477;111.6;70.875;81.218
5;5;True;True;0.0005;3;96;autunno;58;1073;65;36;29;1219;142;14;22;2;0;0;117;0.887;1.603;18.843;17.328;50.831;51.31;70.027;72.552;219.13;227.69;224.611;222.5;274.305;545.155;558.298;604.69;556.816;593.793;303.654;139.621;197.891;195.759;94.771;206.655
