;tempo;stagione;num_volpi;num_conigli;num_carota;num_pozzanghera;numero_volpi_nate;numero_conigli_nati;numero_conigli_morti_fame;numero_volpi_morti_fame;numero_conigli_morti_sete;numero_volpi_morti_sete;numero_conigli_morti_vecchiaia;numero_volpi_morti_vecchiaia;numero_conigli_cacciati;eta_media_conigli;eta_media_volpi;percezione_media_conigli;percezione_media_volpi;velocita_camminata_media_conigli;velocita_camminata_media_volpi;velocita_corsa_media_conigli;velocita_corsa_media_volpi;soglia_fame_media_conigli;soglia_fame_media_volpi;soglia_sete_media_conigli;soglia_sete_media_volpi;soglia_fertilita_media_conigli;soglia_fertilita_media_volpi;soglia_morte_di_fame_media_conigli;soglia_morte_di_fame_media_volpi;soglia_morte_di_sete_media_conigli;soglia_morte_di_sete_media_volpi;media_fame_conigli;media_fame_volpi;media_sete_conigli;media_sete_volpi;media_fertilita_conigli;media_fertilita_volpi
0;9;primavera;25;63;304;207;0;0;0;0;0;0;0;0;12;0.75;0.75;17.905;17.76;48.333;49.92;69.508;69.68;225.19;228.36;226.619;222.76;271.048;543.08;555.762;603.08;552.683;611.0;189.889;230.12;213.0;222.88;84.0;84.0
1;15;estate;29;142;378;203;0;65;5;6;0;0;0;0;23;0.531;0.984;18.021;17.483;47.549;49.862;69.0;69.034;227.62;228.966;226.81;221.034;270.465;544.552;561.303;606.931;544.514;610.931;166.965;174.655;80.887;131.0;59.944;218.828
2;36;estate;29;298;314;160;0;253;5;6;3;0;0;0;52;0.713;1.734;17.762;17.483;48.859;49.862;69.104;69.034;226.872;228.966;227.661;221.034;270.332;544.552;558.789;606.931;548.909;610.931;198.752;138.345;134.379;179.552;58.836;333.552
3;65;autunno;96;535;155;101;57;558;35;6;5;0;0;0;118;0.717;1.003;18.172;18.25;48.08;50.5;69.394;69.115;227.477;229.49;228.116;224.031;269.86;542.573;558.566;599.5;548.221;601.719;208.103;134.719;121.905;133.5;68.703;74.052
4;101;autunno;101;938;29;75;63;1112;90;7;18;0;0;0;201;0.846;1.656;18.062;18.109;48.021;50.109;69.394;69.248;228.182;229.297;228.71;224.02;267.773;544.01;561.047;601.337;543.832;596.545;301.536;161.663;185.007;179.851;83.26;236.911
5;132;autunno;153;738;7;53;120;1463;486;8;67;4;8;0;302;0.934;1.642;18.827;17.85;48.576;50.359;69.386;69.739;230.202;229.242;226.352;223.301;264.153;541.242;575.224;605.49;545.928;599.033;351.272;178.32;218.79;195.471;123.045;222.458
6;154;inverno;254;368;12;48;240;1647;825;12;133;12;8;17;481;0.89;1.171;20.889;18.28;49.332;49.634;71.302;69.213;232.899;229.15;225.957;223.996;265.986;545.35;581.016;602.823;550.323;591.335;363.609;159.551;231.595;172.327;112.606;130.406
7;169;inverno;275;118;26;34;277;1694;967;15;157;25;9;17;612;0.827;1.67;21.737;18.28;50.568;50.404;73.229;69.444;235.873;229.436;224.314;223.585;261.458;543.873;575.746;602.164;564.475;592.025;330.068;242.698;220.686;256.175;110.636;269.236
8;179;primavera;275;50;68;31;360;1722;996;45;163;83;10;23;702;0.719;1.644;20.84;19.251;50.76;50.975;72.16;69.465;240.1;228.949;226.94;223.775;251.74;538.818;572.92;602.218;579.14;592.287;263.32;275.44;199.12;247.433;94.22;248.062
9;186;primavera;211;5;135;41;410;1722;1002;99;166;137;10;30;738;1.135;1.69;18.4;20.635;53.2;53.038;79.6;69.991;243.8;227.583;226.0;223.256;254.0;538.844;605.6;606.303;554.4;587.545;227.8;366.071;310.6;298.043;205.4;282.882
10;192;estate;93;9;184;51;415;1722;1002;178;167;183;10;38;763;0.917;1.89;18.333;21.043;52.667;54.022;78.333;70.086;242.111;229.258;225.778;222.301;254.778;542.581;601.667;631.43;555.111;597.742;319.667;380.484;268.0;354.817;135.778;358.527
11;195;estate;24;3;245;50;415;1722;1006;216;168;213;10;39;764;1.5;2.553;18.0;22.25;53.0;57.125;79.0;72.625;243.0;232.417;226.0;221.833;254.0;535.5;605.0;646.667;554.0;610.833;157.333;446.5;500.0;327.5;334.0;557.583
12;199;autunno;15;28;230;50;415;1722;1006;229;170;217;10;41;767;0.804;1.346;18.0;22.0;53.0;54.8;79.0;72.733;243.0;230.267;226.0;221.4;254.0;526.467;605.0;671.267;554.0;605.333;245.429;386.133;249.321;326.4;101.857;282.733
13;202;autunno;5;21;210;59;415;1722;1010;237;170;219;10;41;770;1.571;2.503;18.0;23.4;53.0;61.0;79.0;71.6;243.0;222.4;226.0;222.6;254.0;521.4;605.0;665.8;554.0;607.2;286.952;222.8;408.095;378.6;357.81;668.2
14;206;inverno;11;37;210;70;415;1725;1011;237;184;222;10;42;772;0.942;1.054;17.865;22.727;52.784;62.0;78.973;72.182;243.081;219.727;226.514;220.182;255.865;519.0;605.73;665.0;548.108;604.545;265.811;358.273;229.243;240.364;144.351;185.364
15;210;inverno;11;18;205;69;415;1725;1023;237;186;222;10;42;777;1.679;1.804;17.389;22.727;52.278;62.0;78.833;72.182;243.333;219.727;227.167;220.182;255.5;519.0;604.444;665.0;546.389;604.545;221.389;380.273;291.056;422.727;349.056;435.364
16;214;primavera;15;38;243;90;415;1732;1023;240;194;224;10;43;786;1.045;1.25;17.079;22.333;52.816;61.667;78.316;71.667;243.526;220.0;225.868;220.667;254.895;519.667;604.184;665.0;547.632;605.0;206.579;231.667;229.816;240.2;173.132;250.667
17;218;primavera;14;29;275;96;415;1736;1030;240;196;225;10;43;790;1.555;1.929;17.621;22.286;52.759;61.714;81.103;71.714;243.621;219.857;225.103;220.571;251.483;519.571;607.069;665.0;547.276;604.857;211.552;360.214;276.655;311.143;252.828;476.857
18;224;estate;23;56;282;98;418;1758;1033;243;205;226;10;43;803;0.94;1.502;18.357;22.783;52.375;60.609;80.482;70.913;244.036;218.652;224.304;219.87;253.5;516.13;605.036;663.696;545.518;605.783;235.536;212.739;203.393;240.565;132.714;329.957
19;231;autunno;33;104;276;93;421;1798;1038;244;208;228;12;43;815;0.591;1.25;18.837;23.152;53.952;59.697;82.298;70.03;245.433;218.788;224.308;219.97;249.279;517.727;602.673;660.97;539.673;606.303;214.087;216.818;114.221;169.333;92.99;261.788
20;241;autunno;31;154;211;83;424;1881;1043;246;212;230;12;44;839;0.739;1.628;18.649;23.71;55.481;59.0;80.831;69.871;244.721;218.806;223.065;219.581;251.448;516.935;606.39;665.484;554.831;609.323;236.526;158.516;163.818;143.935;75.409;286.387
21;255;inverno;60;258;140;80;443;2020;1064;246;218;230;14;44;875;0.664;1.359;19.217;24.55;53.384;61.15;80.213;70.467;244.55;221.433;223.364;219.933;254.593;518.733;614.55;665.6;552.209;613.917;246.438;156.117;144.333;142.117;65.256;196.017
22;272;inverno;82;388;93;66;471;2246;1092;246;229;231;14;49;932;0.787;1.262;19.57;24.622;53.915;60.183;79.649;72.037;246.871;222.268;223.216;221.585;259.469;515.293;609.064;663.622;553.93;611.902;275.229;157.78;174.131;141.878;79.943;161.915
23;291;primavera;115;549;49;54;496;2570;1172;247;252;232;18;49;1018;0.747;1.474;21.2;24.591;55.916;60.765;82.1;73.965;246.862;221.991;221.612;220.061;259.719;515.348;613.248;664.67;558.082;611.974;304.517;159.139;183.712;159.87;83.49;222.026
24;311;primavera;163;507;31;47;554;2824;1293;247;293;236;19;55;1151;0.87;1.438;22.432;25.006;58.917;60.571;83.822;72.405;246.473;224.031;220.566;220.626;259.686;518.147;622.84;669.043;549.199;617.129;343.284;146.896;224.765;167.969;104.099;174.558
25;331;estate;283;542;28;45;667;3187;1429;247;339;236;20;58;1327;0.751;1.347;23.548;24.784;58.096;60.59;85.762;74.406;246.297;223.901;222.12;220.88;254.559;518.148;624.249;671.703;552.644;609.488;313.004;175.555;191.948;161.795;84.528;146.011
26;352;estate;410;323;16;70;811;3411;1528;248;389;244;20;66;1624;0.807;1.36;23.647;25.173;58.461;61.21;88.65;75.227;251.437;223.832;224.263;219.856;245.384;516.202;642.375;669.849;544.622;614.007;328.297;161.415;207.012;140.766;96.44;166.329
27;370;autunno;573;83;19;53;984;3509;1562;253;411;254;20;71;1937;0.578;1.486;23.747;25.342;56.12;61.056;85.241;75.185;250.181;223.45;224.06;219.934;246.855;516.742;629.663;667.639;550.434;615.798;264.759;204.431;137.59;162.716;79.265;195.853
28;386;autunno;701;0;43;53;1177;3509;1564;271;412;276;20;96;2022;0;1.605;23;25.552;56;61.605;85;75.696;250;222.819;224;220.566;246;515.963;629;667.546;550;614.204;0;363.682;0;219.612;0;242.864
29;399;inverno;422;27;67;53;1181;3509;1564;493;412;330;20;113;2025;0.003;2.077;23.0;25.737;56.0;61.066;85.0;75.085;250.0;222.806;224.0;221.002;246.0;516.291;629.0;685.604;550.0;612.514;151.0;537.694;1.0;370.199;0.0;408.898
30;404;inverno;67;2;103;56;1190;3509;1564;767;412;416;20;118;2053;0.753;1.937;23.0;27.642;56.0;59.373;85.0;72.328;250.0;226.985;224.0;221.672;246.0;518.672;629.0;702.806;550.0;627.418;401.0;465.06;251.0;355.866;85.0;373.09
31;406;primavera;40;30;145;56;1190;3509;1564;790;412;428;20;120;2055;0.003;1.418;23.0;28.2;56.0;59.325;85.0;71.3;250.0;226.025;224.0;224.1;246.0;514.375;629.0;677.8;550.0;622.975;151.0;426.0;1.0;311.775;0.0;308.25
32;409;primavera;17;24;190;57;1190;3509;1564;807;412;433;20;121;2061;0.753;1.462;23.0;28.471;56.0;55.824;85.0;70.118;250.0;225.0;224.0;225.235;246.0;504.882;629.0;703.412;550.0;627.353;282.667;373.235;240.667;297.706;85.0;237.235
33;412;estate;24;49;253;57;1190;3516;1572;809;412;434;20;121;2065;0.378;1.264;22.714;28.667;56.327;56.792;85.265;71.542;250.633;225.625;224.551;224.292;246.755;510.208;631.735;696.792;544.878;628.583;164.755;310.083;97.98;256.042;70.469;264.5
34;416;estate;13;38;281;57;1190;3516;1572;815;420;438;20;122;2068;0.921;1.166;22.632;27.462;56.421;54.846;85.342;70.923;250.816;224.923;224.711;225.615;246.974;504.0;632.526;702.769;543.395;618.538;249.053;331.385;264.816;206.308;126.026;111.923
35;420;autunno;26;54;298;57;1193;3516;1575;815;426;438;20;122;2073;0.672;1.038;22.463;26.962;56.407;54.808;84.481;70.5;250.0;224.808;224.278;226.346;246.13;501.538;631.759;709.077;545.519;616.769;184.759;309.769;183.907;241.115;149.556;188.115
36;425;autunno;21;57;270;63;1196;3545;1575;821;444;440;20;122;2081;0.753;1.371;23.175;26.952;56.193;56.476;84.912;70.333;249.544;225.381;223.895;227.762;245.491;503.095;630.93;710.429;550.702;607.095;212.526;259.048;204.842;258.19;72.877;141.667
37;431;inverno;29;85;228;63;1196;3555;1577;821;446;442;20;122;2089;0.794;1.277;23.035;26.655;56.294;57.448;84.741;70.034;249.447;225.379;223.729;227.828;244.953;505.793;630.153;708.862;550.847;610.517;225.671;267.138;189.141;229.241;131.588;224.69
38;438;inverno;34;114;207;64;1208;3620;1583;822;461;446;20;124;2104;0.768;1.194;23.763;27.147;57.018;57.471;83.737;68.882;251.132;225.882;225.526;226.676;243.746;506.412;623.193;706.0;559.167;615.706;238.684;240.765;172.544;207.353;80.36;185.088
39;447;inverno;41;142;188;61;1218;3686;1594;823;462;448;20;124;2130;0.893;1.41;24.092;27.463;56.585;56.61;83.366;71.366;248.106;226.195;224.134;226.366;245.134;498.902;626.486;696.634;567.831;619.22;233.852;227.39;183.732;216.22;124.345;220.293
40;458;primavera;57;306;147;58;1230;3880;1607;825;473;451;20;125;2166;0.7;1.386;25.892;27.035;58.092;56.491;83.0;69.298;247.794;226.07;222.618;227.632;244.605;503.649;637.513;693.509;567.719;614.982;235.18;187.737;141.931;206.965;57.471;220.825
41;478;primavera;101;521;76;62;1276;4194;1630;825;481;452;22;126;2232;0.751;1.264;26.179;27.228;58.927;56.485;82.63;71.277;249.274;227.683;223.086;228.119;242.05;499.277;641.451;700.881;561.729;619.663;260.459;167.594;160.186;152.465;76.382;128.287
42;504;estate;164;1005;15;84;1335;4858;1705;826;498;453;24;130;2348;0.734;1.21;26.574;27.287;59.453;57.677;83.656;72.073;249.425;227.689;222.186;226.506;240.539;497.183;642.05;705.921;566.026;623.677;306.487;159.97;176.719;111.36;68.739;153.049
43;535;estate;206;999;0;65;1385;5285;1906;830;564;455;25;132;2513;0.942;1.504;26.743;26.84;59.799;58.131;82.81;71.534;249.272;227.951;223.3;225.859;234.672;499.563;653.018;703.335;563.268;626.15;377.241;162.772;243.429;156.359;128.748;201.078
44;559;autunno;390;485;0;62;1571;5483;2225;832;707;455;31;142;2793;1.042;1.211;27.509;26.905;57.794;58.505;82.907;70.428;249.963;227.315;225.798;226.869;236.148;497.623;659.429;707.021;570.922;625.328;421.841;150.056;285.833;138.703;155.016;115.838
45;576;autunno;503;72;7;57;1698;5536;2347;836;770;461;31;146;3080;0.824;1.482;28.361;27.032;55.069;58.895;77.111;71.336;256.319;227.692;225.653;226.33;251.986;496.718;651.639;709.173;574.764;628.716;334.75;199.529;219.306;173.718;131.708;198.131
46;591;inverno;616;0;50;60;1840;5542;2353;844;773;477;31;161;3184;0;1.69;28;27.169;55;58.752;77;71.667;256;228.086;225;226.873;251;494.953;651;712.495;574;628.005;0;351.354;0;219.81;0;265.82
47;603;inverno;469;0;106;56;1861;5542;2353;958;773;518;31;174;3184;0;2.22;28;27.64;55;59.414;77;71.953;256;228.542;225;227.128;251;492.949;651;728.049;574;627.846;0;553.004;0;367.399;0;445.48
48;609;primavera;128;1;186;55;1891;5542;2353;1223;773;618;31;191;3214;0.75;1.99;28.0;27.828;55.0;61.273;77.0;72.469;256.0;227.633;225.0;228.352;251.0;495.672;651.0;743.148;574.0;636.852;400.0;506.75;250.0;367.57;84.0;393.422
49;612;primavera;57;1;263;55;1895;5542;2353;1272;773;643;31;192;3214;1.5;1.818;28.0;27.035;55.0;57.561;77.0;71.702;256.0;227.912;225.0;228.842;251.0;492.386;651.0;729.386;574.0;630.684;6.0;554.018;500.0;424.211;334.0;325.772
50;616;estate;17;23;285;69;1895;5542;2353;1304;774;658;31;195;3221;0.75;1.318;28.0;25.412;55.0;51.059;77.0;73.529;256.0;229.882;225.0;219.706;251.0;482.353;651.0;766.294;574.0;663.765;196.87;455.706;239.348;373.882;84.0;242.647
51;619;estate;11;30;300;69;1895;5550;2353;1308;774;660;31;195;3222;1.115;1.567;28.767;26.182;54.967;54.091;78.0;72.273;253.667;229.182;225.867;224.727;255.967;490.727;649.5;744.182;578.367;640.818;263.7;524.455;269.167;498.273;204.733;356.182
52;623;autunno;12;58;248;78;1895;5566;2356;1313;783;664;31;195;3228;0.889;1.0;27.897;26.167;56.034;54.5;77.793;71.833;253.69;228.667;225.328;224.667;257.121;490.333;647.5;741.5;577.69;638.333;179.828;286.0;194.793;181.917;116.603;167.333
53;629;autunno;12;97;199;80;1895;5616;2357;1313;784;664;31;195;3237;0.876;1.75;27.526;26.167;54.804;54.5;78.351;71.833;253.186;228.667;223.34;224.667;251.186;490.333;645.34;741.5;565.031;638.333;216.309;226.917;159.031;271.333;107.887;417.333
54;639;inverno;23;278;138;72;1899;5791;2359;1314;789;666;31;195;3254;0.746;1.355;28.277;27.261;54.835;54.696;78.518;69.652;254.705;227.609;224.824;223.043;252.252;490.261;632.558;733.348;564.658;635.261;245.622;164.0;160.482;122.783;63.115;139.13
55;655;inverno;42;478;76;68;1918;6052;2381;1314;796;666;34;195;3284;0.839;1.356;29.431;27.071;55.523;55.571;78.845;70.214;254.199;230.024;223.556;223.429;250.268;500.214;643.893;736.31;559.107;633.476;283.726;172.643;169.816;167.5;90.699;176.048
56;676;primavera;75;916;30;63;1943;6622;2463;1314;825;666;34;197;3335;0.75;1.22;30.486;26.333;57.092;55.72;79.156;70.16;253.367;229.773;225.737;223.387;249.183;498.773;640.784;738.267;563.764;637.307;296.443;170.64;168.438;122.48;67.852;130.36
57;705;primavera;124;1168;3;58;1993;7219;2653;1315;881;666;41;197;3427;0.795;1.311;31.542;26.081;57.948;55.895;79.193;70.532;253.601;229.847;224.738;223.516;247.774;495.452;647.016;734.79;563.48;634.177;331.497;159.097;198.998;134.758;90.101;142.952
58;739;estate;214;1089;0;57;2080;7671;2948;1315;1003;666;44;204;3569;0.936;1.16;32.725;26.033;58.491;55.907;79.772;71.098;253.816;229.579;226.088;223.631;245.069;495.71;652.592;737.729;564.008;629.229;393.16;163.472;256.621;118.991;125.409;128.089
59;765;estate;325;630;0;57;2191;7994;3341;1315;1158;666;46;204;3804;0.901;1.355;33.449;26.572;58.829;55.194;82.894;70.674;253.386;228.877;226.143;223.628;245.327;494.117;668.917;733.526;578.275;632.034;375.383;170.055;244.321;155.32;126.094;159.172
60;784;autunno;497;249;5;57;2369;8113;3477;1315;1238;672;47;214;4119;0.942;1.36;33.98;26.495;57.566;54.865;85.052;71.97;255.281;229.899;227.426;223.604;243.534;495.338;672.554;733.241;572.968;632.245;408.386;177.374;271.94;168.757;139.016;155.099
