;Unnamed: 0;tempo;stagione;num_volpi;num_conigli;num_carota;num_pozzanghera;numero_volpi_nate;numero_conigli_nati;numero_conigli_morti_fame;numero_volpi_morti_fame;numero_conigli_morti_sete;numero_volpi_morti_sete;numero_conigli_morti_vecchiaia;numero_volpi_morti_vecchiaia;numero_conigli_cacciati;eta_media_conigli;eta_media_volpi;percezione_media_conigli;percezione_media_volpi;velocita_camminata_media_conigli;velocita_camminata_media_volpi;velocita_corsa_media_conigli;velocita_corsa_media_volpi;soglia_fame_media_conigli;soglia_fame_media_volpi;soglia_sete_media_conigli;soglia_sete_media_volpi;soglia_fertilita_media_conigli;soglia_fertilita_media_volpi;soglia_morte_di_fame_media_conigli;soglia_morte_di_fame_media_volpi;soglia_morte_di_sete_media_conigli;soglia_morte_di_sete_media_volpi;media_fame_conigli;media_fame_volpi;media_sete_conigli;media_sete_volpi;media_fertilita_conigli;media_fertilita_volpi
0;0;5;primavera;25;64;305;206;0;0;0;0;0;0;0;0;11;0.75;0.75;17.797;17.4;49.219;50.64;70.406;70.56;227.016;229.16;224.562;226.12;274.922;551.8;550.359;596.04;557.906;604.44;216.672;259.08;214.25;175.68;84.0;84.0
1;1;10;estate;31;109;388;209;0;38;11;4;0;0;0;0;23;0.576;1.017;18.193;17.323;48.917;50.161;69.55;70.194;224.844;228.581;225.22;227.387;270.679;551.484;560.183;592.452;553.514;604.903;174.817;202.258;99.147;130.065;84.339;226.258
2;2;20;estate;31;150;399;191;0;114;12;4;8;0;0;0;49;0.774;1.767;18.627;17.323;49.98;50.161;68.14;70.194;225.353;228.581;223.167;227.387;278.28;551.484;560.08;592.452;558.987;604.903;192.353;177.194;145.513;211.161;70.533;367.194
3;3;37;autunno;75;311;229;173;35;308;23;5;9;0;0;0;100;0.7;1.219;18.55;17.6;50.486;50.627;68.212;70.56;224.929;227.773;222.862;228.64;275.605;546.373;554.344;595.76;554.09;615.8;199.511;139.667;128.907;133.253;67.074;113.373
4;4;61;autunno;107;513;115;138;68;646;64;5;15;1;0;0;189;0.786;1.518;19.187;17.364;51.881;50.075;66.797;69.626;225.195;228.935;224.251;227.318;277.302;547.935;557.101;591.299;568.294;612.252;267.304;154.019;165.271;175.318;77.413;181.617
5;5;83;autunno;149;529;41;92;113;937;215;5;26;4;4;0;298;0.872;1.71;19.314;17.879;52.488;50.128;66.673;69.94;225.628;229.644;225.658;227.597;275.665;546.705;565.994;593.946;573.461;614.523;326.684;164.51;199.505;204.557;108.18;256.154
6;6;101;inverno;186;345;37;75;169;1090;451;5;43;14;4;19;412;0.951;1.444;19.186;18.242;51.901;51.683;67.397;70.199;222.864;228.403;225.783;227.882;277.881;539.602;578.925;589.161;569.47;620.242;358.733;197.167;243.646;226.446;130.699;228.785
7;7;113;inverno;208;136;49;66;221;1156;608;16;73;33;4;19;501;0.979;1.647;18.757;18.692;51.603;51.452;67.022;70.106;224.478;229.058;223.647;228.697;269.993;540.596;587.397;586.663;573.919;616.712;355.588;250.702;252.632;264.288;148.919;264.519
8;8;122;primavera;212;73;74;64;275;1201;644;44;87;62;4;22;589;0.804;1.654;20.425;19.396;51.123;52.231;68.356;69.316;229.548;230.717;221.699;229.132;265.068;538.764;587.849;591.08;591.027;617.264;291.055;253.939;221.534;250.061;102.575;253.651
9;9;129;primavera;180;16;134;62;320;1212;654;76;92;105;4;24;642;1.071;1.713;26.5;19.8;40.688;55.756;64.312;72.172;217.875;230.067;216.188;229.394;272.625;536.911;594.562;593.85;562.688;626.344;266.125;305.367;284.0;297.7;190.875;283.372
