;evoluzione;reinserimento;tempo;stagione;num_volpi;num_conigli;num_carota;num_pozzanghera;numero_volpi_nate;numero_conigli_nati;numero_conigli_morti_fame;numero_volpi_morti_fame;numero_conigli_morti_sete;numero_volpi_morti_sete;numero_conigli_morti_vecchiaia;numero_volpi_morti_vecchiaia;numero_conigli_cacciati;eta_media_conigli;eta_media_volpi;percezione_media_conigli;percezione_media_volpi;velocita_camminata_media_conigli;velocita_camminata_media_volpi;velocita_corsa_media_conigli;velocita_corsa_media_volpi;soglia_fame_media_conigli;soglia_fame_media_volpi;soglia_sete_media_conigli;soglia_sete_media_volpi;soglia_fertilita_media_conigli;soglia_fertilita_media_volpi;soglia_morte_di_fame_media_conigli;soglia_morte_di_fame_media_volpi;soglia_morte_di_sete_media_conigli;soglia_morte_di_sete_media_volpi;media_fame_conigli;media_fame_volpi;media_sete_conigli;media_sete_volpi;media_fertilita_conigli;media_fertilita_volpi
0;True;True;0;primavera;25;75;251;200;0;0;0;0;0;0;0;0;0;0.003;0.003;17.2;17.68;50.493;50.4;69.8;68.6;226.933;224.12;222.16;231.48;277.72;552.08;551.667;602.28;549.813;600.16;151.0;151.0;1.0;1.0;0.0;0.0
1;True;True;6;primavera;25;67;307;203;0;0;0;0;0;0;0;0;8;0.753;0.753;17.015;17.68;50.433;50.4;69.761;68.6;226.761;224.12;222.358;231.48;277.925;552.08;549.06;602.28;550.284;600.16;212.164;294.36;195.896;231.92;85.0;85.0
