;Unnamed: 0;evoluzione;reinserimento;probabilita_riproduzione_carote;quantita_acqua_pozzanghera;tempo;stagione;num_volpi;num_conigli;num_carota;num_pozzanghera;numero_volpi_nate;numero_conigli_nati;numero_conigli_morti_fame;numero_volpi_morti_fame;numero_conigli_morti_sete;numero_volpi_morti_sete;numero_conigli_morti_vecchiaia;numero_volpi_morti_vecchiaia;numero_conigli_cacciati;eta_media_conigli;eta_media_volpi;percezione_media_conigli;percezione_media_volpi;velocita_camminata_media_conigli;velocita_camminata_media_volpi;velocita_corsa_media_conigli;velocita_corsa_media_volpi;soglia_fame_media_conigli;soglia_fame_media_volpi;soglia_sete_media_conigli;soglia_sete_media_volpi;soglia_fertilita_media_conigli;soglia_fertilita_media_volpi;soglia_morte_di_fame_media_conigli;soglia_morte_di_fame_media_volpi;soglia_morte_di_sete_media_conigli;soglia_morte_di_sete_media_volpi;media_fame_conigli;media_fame_volpi;media_sete_conigli;media_sete_volpi;media_fertilita_conigli;media_fertilita_volpi
0;0;True;True;0.0005;3;2;primavera;25;75;250;200;0;0;0;0;0;0;0;0;0;0.003;0.003;17.72;17.76;49.453;50.28;70.413;69.92;229.253;225.04;225.0;229.72;276.627;551.2;550.933;597.92;552.493;598.16;151.0;151.0;1.0;1.0;0.0;0.0
1;1;True;True;0.0005;3;8;primavera;25;64;281;202;0;0;0;0;0;0;0;0;11;0.753;0.753;17.734;17.76;49.375;50.28;70.422;69.92;229.547;225.04;225.266;229.72;277.766;551.2;549.25;597.92;553.562;598.16;179.906;254.0;207.234;222.92;85.0;85.0
2;2;True;True;0.0005;3;13;estate;27;93;320;203;0;13;6;8;0;0;0;0;19;0.823;0.949;18.258;17.407;49.473;50.0;70.29;69.407;232.452;225.63;225.312;230.074;276.237;546.037;549.409;595.963;556.677;602.519;168.473;210.037;117.753;151.852;160.097;210.926
3;3;True;True;0.0005;3;24;estate;30;233;299;175;7;176;7;9;1;3;0;0;40;0.742;1.238;17.858;17.667;49.768;48.7;70.472;68.933;229.249;226.933;227.335;230.3;272.931;544.033;549.532;596.733;562.077;605.333;198.305;146.067;145.605;111.4;54.034;223.1
4;4;True;True;0.0005;3;46;autunno;66;453;241;101;33;445;39;9;2;3;0;0;86;0.741;1.055;17.762;17.53;50.146;48.076;71.832;69.152;229.506;227.318;225.488;232.803;269.801;543.455;546.21;602.5;564.669;605.818;229.289;131.833;131.828;103.364;74.402;118.894
5;5;True;True;0.0005;3;83;autunno;73;903;107;59;40;1047;120;9;9;3;0;0;151;0.747;1.674;18.577;17.644;51.173;48.342;72.071;69.685;229.267;225.945;225.712;232.918;271.444;544.137;552.72;602.219;562.315;609.932;262.071;147.041;157.302;189.493;60.73;249.233
